Larimores,Gymnázium-Gimnázium Fiľakovo,Fiľakovo - Fülek
RoboBoss,Gymnázium-Gimnázium Fiľakovo,Fiľakovo - Fülek
SztJoe,"Szent József Általános Iskola, Gimnázium, Szakgimnázium és Kollégium",Debrecen
NoName,Stredná odborná škola Jozefa Szakkayho - Szakkay József Szakközépiskola,Košice - Kassa
WhiteRob,Základná škola Štefana Koháriho II. s VJM - II. Koháry István Alapiskola,Fiľakovo - Fülek
CyberBoys,Základná škola Štefana Koháriho II. s VJM - II. Koháry István Alapiskola,Fiľakovo - Fülek
SuperGo,"Katolícka spojená škola, Banská Štiavnica",Banská Štiavnica
KáVé,Bányai Júlia Gimnázium,Kecskemét
Cyberpunk,Gymnázium M. Tompu RKC s VJM,Rimavská Sobota - Rimaszombat
Megalodon,Gymnázium M. Tompu RKC s VJM,Rimavská Sobota - Rimaszombat
Level1,Gymnázium M. Tompu RKC s VJM,Rimavská Sobota - Rimaszombat
Saiga-12,"ZŠ ""TROJKA"" Zvolen",Zvolen
Slimáci,Základná škola Jozefa Horáka Banská Štiavnica,Banská Štiavnica
RoboGen1,"ZŠ ""TROJKA"" Zvolen",Zvolen
RoboGen2,"ZŠ ""TROJKA"" Zvolen",Zvolen
SNP1,"Základná škola, Trieda SNP 20, Banská Bystrica",Banská Bystrica
SNP2,"Základná škola, Trieda SNP 20, Banská Bystrica",Banská Bystrica
Štrbavý raptor,Radvanská,Banská Bystrica
Abby,Amavet klub robotiky 958 - The Benders,Žilina
This Way Up,Amavet klub robotiky 958 - The Benders,Žilina